c,i0,p2h,gate,unt,arr_d,flujo04,untreated,treated,adult,child,mape_t5,mape_f8,max_err
2.400,4000,0.0090,0.008278,0.012155,194.45,4293.4,52.0,17.0,32.0,2.0,4.114,11.266,11.266
2.400,4000,0.0095,0.007949,0.011668,202.55,4492.3,51.0,17.0,34.0,2.0,3.711,8.980,8.980
2.400,4000,0.0100,0.007652,0.011229,210.41,4687.3,52.0,19.0,33.0,2.0,6.508,7.814,7.814
2.400,4000,0.0110,0.007134,0.010463,225.68,5066.1,52.0,18.0,34.0,2.0,5.206,8.226,8.226
2.400,4000,0.0120,0.006699,0.009822,240.32,5430.4,50.0,18.0,34.0,2.0,5.768,14.235,14.235
2.400,4000,0.0130,0.006332,0.009279,254.27,5780.4,50.0,17.0,34.0,2.0,4.196,21.702,21.702
2.400,4000,0.0140,0.006016,0.008813,267.64,6116.7,52.0,18.0,33.0,2.0,4.936,28.892,28.892
2.400,4000,0.0150,0.005741,0.008408,280.45,6439.5,51.0,17.0,33.0,2.0,3.441,35.812,35.812
2.400,4200,0.0070,0.009683,0.014238,166.27,3600.9,52.0,17.0,32.0,2.0,4.114,24.650,24.650
2.400,4200,0.0080,0.008735,0.012832,184.32,4043.9,53.0,17.0,31.0,2.0,5.349,15.313,15.313
2.400,4200,0.0085,0.008338,0.012244,193.05,4259.3,52.0,18.0,33.0,2.0,4.936,12.049,12.049
2.400,4200,0.0090,0.007986,0.011724,201.59,4470.5,52.0,18.0,33.0,2.0,4.936,9.641,9.641
2.400,4200,0.0095,0.007667,0.011251,210.00,4677.8,52.0,18.0,33.0,2.0,4.936,7.756,7.756
2.400,4200,0.0100,0.007378,0.010823,218.23,4881.2,51.0,18.0,34.0,2.0,5.284,7.247,7.247
2.400,4200,0.0110,0.006876,0.010083,234.14,5276.3,52.0,18.0,34.0,2.0,5.206,10.762,10.762
2.400,4200,0.0120,0.006456,0.009463,249.32,5656.3,52.0,18.0,32.0,2.0,5.686,18.836,18.836
2.400,4200,0.0130,0.006101,0.008938,263.91,6021.5,52.0,18.0,33.0,2.0,4.936,26.615,26.615
2.400,4200,0.0140,0.005793,0.008486,277.91,6372.5,50.0,18.0,33.0,2.0,5.498,34.107,34.107
2.400,4200,0.0150,0.005528,0.008095,291.23,6709.6,51.0,17.0,34.0,2.0,3.711,41.320,41.320
2.400,4500,0.0070,0.009214,0.013543,174.73,3809.4,52.0,18.0,33.0,2.0,4.936,20.407,20.407
2.400,4500,0.0080,0.008311,0.012204,193.73,4278.9,52.0,17.0,33.0,2.0,3.364,12.386,12.386
2.400,4500,0.0085,0.007929,0.011639,203.05,4507.1,50.0,18.0,34.0,2.0,5.768,9.815,9.815
2.400,4500,0.0090,0.007589,0.011137,212.14,4731.0,51.0,18.0,33.0,2.0,5.014,7.519,7.519
2.400,4500,0.0095,0.007288,0.010691,220.91,4950.8,53.0,18.0,33.0,2.0,5.421,6.962,6.962
2.400,4500,0.0100,0.007010,0.010280,229.68,5166.4,51.0,19.0,34.0,2.0,6.856,8.450,8.450
2.400,4500,0.0110,0.006531,0.009574,246.55,5585.5,51.0,18.0,33.0,2.0,5.014,17.059,17.059
2.400,4500,0.0120,0.006129,0.008980,262.68,5988.7,52.0,17.0,33.0,2.0,3.364,25.609,25.609
2.400,4500,0.0130,0.005789,0.008480,278.14,6376.5,52.0,18.0,33.0,2.0,4.936,33.848,33.848
2.400,4500,0.0140,0.005496,0.008047,292.95,6749.2,52.0,17.0,33.0,2.0,3.364,41.787,41.787
2.400,4500,0.0150,0.005242,0.007674,307.14,7107.3,50.0,18.0,34.0,2.0,5.768,49.432,49.432
2.500,2800,0.0070,0.012222,0.018019,131.73,2733.2,53.0,16.0,32.0,2.0,3.026,42.510,42.510
2.500,2800,0.0080,0.011069,0.016299,145.50,3067.0,52.0,17.0,33.0,2.0,3.364,35.425,35.425
2.500,2800,0.0085,0.010583,0.015576,152.14,3229.1,52.0,17.0,33.0,2.0,3.364,31.980,31.980
2.500,2800,0.0090,0.010152,0.014935,158.59,3387.9,51.0,18.0,34.0,2.0,5.284,28.599,28.599
2.500,2800,0.0095,0.009760,0.014353,164.91,3543.6,53.0,16.0,31.0,2.0,3.777,25.281,25.281
2.500,2800,0.0100,0.009403,0.013823,171.23,3696.2,52.0,16.0,32.0,2.0,2.542,22.026,22.026
2.500,2800,0.0110,0.008785,0.012906,183.27,3992.2,52.0,16.0,32.0,2.0,2.542,15.698,15.698
2.500,2800,0.0120,0.008264,0.012135,194.82,4276.3,52.0,17.0,33.0,2.0,3.364,10.737,10.737
2.500,2800,0.0130,0.007824,0.011484,205.77,4548.9,52.0,18.0,32.0,2.0,5.686,8.475,8.475
2.500,2800,0.0140,0.007443,0.010920,216.32,4810.2,51.0,18.0,32.0,2.0,5.764,9.026,9.026
2.500,2800,0.0150,0.007112,0.010432,226.36,5060.7,50.0,19.0,35.0,2.0,8.091,10.638,10.638
2.500,3000,0.0070,0.011625,0.017127,138.50,2898.5,53.0,17.0,33.0,2.0,3.848,39.184,39.184
2.500,3000,0.0080,0.010517,0.015477,153.09,3253.0,52.0,16.0,32.0,2.0,2.542,31.680,31.680
2.500,3000,0.0085,0.010054,0.014790,160.14,3425.1,53.0,17.0,32.0,2.0,4.599,28.030,28.030
2.500,3000,0.0090,0.009641,0.014176,167.00,3593.9,52.0,17.0,32.0,2.0,4.114,24.448,24.448
2.500,3000,0.0095,0.009263,0.013615,173.82,3759.3,53.0,17.0,32.0,2.0,4.599,20.932,20.932
2.500,3000,0.0100,0.008924,0.013113,180.41,3921.4,52.0,16.0,31.0,2.0,3.292,17.482,17.482
2.500,3000,0.0110,0.008334,0.012238,193.18,4236.1,52.0,16.0,32.0,2.0,2.542,10.776,10.776
2.500,3000,0.0120,0.007836,0.011502,205.45,4538.2,51.0,18.0,34.0,2.0,5.284,8.312,8.312
2.500,3000,0.0130,0.007413,0.010876,217.18,4828.2,52.0,19.0,33.0,2.0,6.508,8.609,8.609
2.500,3000,0.0140,0.007052,0.010342,228.36,5106.3,51.0,18.0,34.0,2.0,5.284,10.361,10.361
2.500,3000,0.0150,0.006736,0.009876,239.00,5373.0,51.0,18.0,33.0,2.0,5.014,13.618,13.618
2.500,3200,0.0070,0.011093,0.016335,145.14,3060.6,54.0,17.0,32.0,2.0,5.083,35.924,35.924
2.500,3200,0.0080,0.010034,0.014760,160.45,3435.5,51.0,17.0,33.0,2.0,3.441,28.009,28.009
2.500,3200,0.0085,0.009583,0.014091,168.00,3617.5,53.0,16.0,31.0,2.0,3.777,24.159,24.159
2.500,3200,0.0090,0.009186,0.013501,175.27,3796.0,50.0,17.0,33.0,2.0,3.926,20.380,20.380
2.500,3200,0.0095,0.008826,0.012968,182.41,3971.0,51.0,16.0,33.0,2.0,1.869,16.670,16.670
2.500,3200,0.0100,0.008500,0.012484,189.41,4142.6,51.0,17.0,33.0,2.0,3.441,13.028,13.028
2.500,3200,0.0110,0.007933,0.011644,202.95,4475.6,50.0,17.0,34.0,2.0,4.196,8.304,8.304
2.500,3200,0.0120,0.007457,0.010941,215.91,4795.5,51.0,17.0,32.0,2.0,4.192,7.919,7.919
2.500,3200,0.0130,0.007053,0.010344,228.32,5102.5,51.0,19.0,34.0,2.0,6.856,9.812,9.812
2.500,3200,0.0140,0.006703,0.009827,240.18,5397.2,51.0,18.0,34.0,2.0,5.284,13.751,13.751
2.500,3200,0.0150,0.006404,0.009386,251.45,5679.8,50.0,18.0,34.0,2.0,5.768,19.824,19.824
2.500,3400,0.0070,0.010621,0.015632,151.59,3219.7,53.0,17.0,33.0,2.0,3.848,32.728,32.728
2.500,3400,0.0080,0.009594,0.014106,167.82,3614.5,53.0,16.0,31.0,2.0,3.777,24.409,24.409
